CASENO,OFFENSE,EVENTDT,EVENTTM,CVLEGEND,CVDOW,InDbDate,Block_Location,BLKADDR,City,State,Lat,Lon
19091359,BURGLARY AUTO,07/10/2019 12:00:00 AM,22:00,BURGLARY - VEHICLE,3,02/08/2020 07:00:09 AM,"1800 SCENIC AV
Berkeley, CA
(37.876251, -122.262453)",1800 SCENIC AV,Berkeley,CA,37.876251,-122.26245300000001
19091543,THEFT FELONY (OVER $950),08/02/2019 12:00:00 AM,11:15,LARCENY,5,02/08/2020 07:00:13 AM,"2900 BENVENUE AV
Berkeley, CA
(37.858156, -122.254397)",2900 BENVENUE AV,Berkeley,CA,37.858156,-122.254397
19035770,BURGLARY AUTO,07/01/2019 12:00:00 AM,11:40,BURGLARY - VEHICLE,1,02/08/2020 07:00:08 AM,"1000 GILMAN ST
Berkeley, CA
(37.88014, -122.297498)",1000 GILMAN ST,Berkeley,CA,37.880140000000004,-122.297498
19038152,THEFT MISD. (UNDER $950),07/13/2019 12:00:00 AM,17:36,LARCENY,6,02/08/2020 07:00:09 AM,"1300 SAN PABLO AV
Berkeley, CA
(37.880228, -122.295798)",1300 SAN PABLO AV,Berkeley,CA,37.880228,-122.295798
19043905,DOMESTIC VIOLENCE,08/09/2019 12:00:00 AM,14:11,FAMILY OFFENSE,5,02/08/2020 07:00:13 AM,"5TH STREET & DWIGHT WY
Berkeley, CA
(37.859767, -122.296263)",5TH STREET & DWIGHT WY,Berkeley,CA,37.859767,-122.29626299999998
19091460,THEFT FELONY (OVER $950),07/23/2019 12:00:00 AM,00:30,LARCENY,2,02/08/2020 07:00:13 AM,"1400 BONITA AVE
Berkeley, CA
(37.881433, -122.272921)",1400 BONITA AVE,Berkeley,CA,37.881433,-122.272921
19043167,BURGLARY AUTO,08/06/2019 12:00:00 AM,12:01,BURGLARY - VEHICLE,2,02/08/2020 07:00:13 AM,"COLUSA AV & SOLANO AV
Berkeley, CA
(37.891368, -122.279257)",COLUSA AV & SOLANO AV,Berkeley,CA,37.891368,-122.279257
19091530,BURGLARY AUTO,07/31/2019 12:00:00 AM,14:16,BURGLARY - VEHICLE,3,02/08/2020 07:00:13 AM,"2000 ALLSTON WY
Berkeley, CA
(37.869105, -122.270064)",2000 ALLSTON WY,Berkeley,CA,37.869105,-122.27006399999999
19091465,THEFT MISD. (UNDER $950),07/22/2019 12:00:00 AM,21:00,LARCENY,1,02/08/2020 07:00:13 AM,"2100 SHATTUCK AV
Berkeley, CA
(37.871167, -122.268285)",2100 SHATTUCK AV,Berkeley,CA,37.871167,-122.268285
19048209,FRAUD/FORGERY,08/20/2019 12:00:00 AM,05:30,FRAUD,2,02/08/2020 07:00:09 AM,"2300 EIGHTH ST
Berkeley, CA
(37.863945, -122.294086)",2300 EIGHTH ST,Berkeley,CA,37.863945,-122.29408600000001
19043155,MISSING ADULT,08/05/2019 12:00:00 AM,19:30,MISSING PERSON,1,02/08/2020 07:00:13 AM,"1500 MARTIN LUTHER KING JR WY
Berkeley, CA
(37.87965, -122.273873)",1500 MARTIN LUTHER KING JR WY,Berkeley,CA,37.87965,-122.273873
19091560,BURGLARY AUTO,08/04/2019 12:00:00 AM,14:00,BURGLARY - VEHICLE,0,02/08/2020 07:00:13 AM,"1900 BERKELEY WAY
Berkeley, CA
(37.87247, -122.273021)",1900 BERKELEY WAY,Berkeley,CA,37.87247,-122.273021
19049384,BURGLARY COMMERCIAL,08/31/2019 12:00:00 AM,17:00,BURGLARY - COMMERCIAL,6,02/08/2020 07:00:14 AM,"1400 SAN PABLO AV
Berkeley, CA
(37.878722, -122.295312)",1400 SAN PABLO AV,Berkeley,CA,37.878721999999996,-122.29531200000001
19038329,NARCOTICS,07/14/2019 12:00:00 AM,17:02,DRUG VIOLATION,0,02/08/2020 07:00:09 AM,"3200 ADELINE ST
Berkeley, CA
(37.850385, -122.270897)",3200 ADELINE ST,Berkeley,CA,37.850384999999996,-122.27089699999999
19091672,THEFT FROM AUTO,08/12/2019 12:00:00 AM,00:00,LARCENY - FROM VEHICLE,1,02/08/2020 07:00:13 AM,"2000 FRANCISCO ST
Berkeley, CA
(37.875391, -122.271141)",2000 FRANCISCO ST,Berkeley,CA,37.875391,-122.27114099999999
19041473,DISTURBANCE,07/29/2019 12:00:00 AM,17:22,DISORDERLY CONDUCT,1,02/08/2020 07:00:13 AM,"1800 FOURTH ST
Berkeley, CA
(37.869888, -122.300618)",1800 FOURTH ST,Berkeley,CA,37.869888,-122.300618
19045079,VEHICLE STOLEN,08/14/2019 12:00:00 AM,20:45,MOTOR VEHICLE THEFT,3,02/08/2020 07:00:13 AM,"2300 NINTH ST
Berkeley, CA
(37.864109, -122.292948)",2300 NINTH ST,Berkeley,CA,37.864109,-122.292948
19036046,FRAUD/FORGERY,07/02/2019 12:00:00 AM,19:48,FRAUD,2,02/08/2020 07:00:08 AM,"1200 CAMPUS DR
Berkeley, CA
(37.887741, -122.254539)",1200 CAMPUS DR,Berkeley,CA,37.887741,-122.254539
19037269,DOMESTIC VIOLENCE,07/05/2019 12:00:00 AM,17:00,FAMILY OFFENSE,5,02/08/2020 07:00:09 AM,"2600 VIRGINIA ST
Berkeley, CA
(37.878056, -122.258553)",2600 VIRGINIA ST,Berkeley,CA,37.878056,-122.258553
19042817,BURGLARY AUTO,08/04/2019 12:00:00 AM,17:30,BURGLARY - VEHICLE,0,02/08/2020 07:00:13 AM,"2100 WARD ST
Berkeley, CA
(37.85948, -122.266689)",2100 WARD ST,Berkeley,CA,37.85948,-122.26668899999999
19091607,THEFT MISD. (UNDER $950),08/07/2019 12:00:00 AM,13:20,LARCENY,3,02/08/2020 07:00:13 AM,"2700 ACTON ST
Berkeley, CA
(37.858427, -122.282485)",2700 ACTON ST,Berkeley,CA,37.858427,-122.28248500000001
19091723,THEFT MISD. (UNDER $950),08/21/2019 12:00:00 AM,00:00,LARCENY,3,02/08/2020 07:00:13 AM,"800 OXFORD ST
Berkeley, CA
(37.892824, -122.272717)",800 OXFORD ST,Berkeley,CA,37.892824,-122.27271699999999
19091382,THEFT MISD. (UNDER $950),07/13/2019 12:00:00 AM,07:04,LARCENY,6,02/08/2020 07:00:09 AM,"2100 PRINCE ST
Berkeley, CA
(37.8531, -122.266131)",2100 PRINCE ST,Berkeley,CA,37.8531,-122.266131
19091616,THEFT MISD. (UNDER $950),08/01/2019 12:00:00 AM,01:00,LARCENY,4,02/08/2020 07:00:13 AM,"1300 CARLOTTA AVE
Berkeley, CA
(37.88253, -122.280217)",1300 CARLOTTA AVE,Berkeley,CA,37.882529999999996,-122.280217
19035964,ASSAULT/BATTERY MISD.,07/02/2019 12:00:00 AM,10:00,ASSAULT,2,02/08/2020 07:00:08 AM,"SHATTUCK AVENUE &CENTER ST
Berkeley, CA",SHATTUCK AVENUE &CENTER ST,Berkeley,CA,,
19055817,SEXUAL ASSAULT MISD.,07/06/2019 12:00:00 AM,09:00,SEX CRIME,6,02/08/2020 07:00:09 AM,"2100 MARTIN LUTHER KING JR WY
Berkeley, CA
(37.869688, -122.272805)",2100 MARTIN LUTHER KING JR WY,Berkeley,CA,37.869688000000004,-122.272805
19038499,BURGLARY COMMERCIAL,07/14/2019 12:00:00 AM,23:00,BURGLARY - COMMERCIAL,0,02/08/2020 07:00:09 AM,"1300 GILMAN ST
Berkeley, CA
(37.881366, -122.289688)",1300 GILMAN ST,Berkeley,CA,37.881366,-122.28968799999998
19046043,DISTURBANCE,08/19/2019 12:00:00 AM,11:30,DISORDERLY CONDUCT,1,02/08/2020 07:00:13 AM,"600 ENSENADA AVE
Berkeley, CA
(37.895601, -122.285524)",600 ENSENADA AVE,Berkeley,CA,37.895601,-122.285524
19037517,THEFT MISD. (UNDER $950),07/10/2019 12:00:00 AM,19:05,LARCENY,3,02/08/2020 07:00:09 AM,"2600 TELEGRAPH AV
Berkeley, CA
(37.862927, -122.258784)",2600 TELEGRAPH AV,Berkeley,CA,37.862927,-122.258784
19049300,THEFT FROM AUTO,08/31/2019 12:00:00 AM,22:00,LARCENY - FROM VEHICLE,6,02/08/2020 07:00:14 AM,"1600 MARTIN LUTHER KING JR WY
Berkeley, CA
(37.877696, -122.273684)",1600 MARTIN LUTHER KING JR WY,Berkeley,CA,37.877696,-122.273684
19040393,ASSAULT/BATTERY FEL.,07/23/2019 12:00:00 AM,20:00,ASSAULT,2,02/08/2020 07:00:13 AM,"2300 BANCROFT WY
Berkeley, CA
(37.868199, -122.263253)",2300 BANCROFT WY,Berkeley,CA,37.868199,-122.263253
19043748,DISTURBANCE,08/08/2019 12:00:00 AM,13:50,DISORDERLY CONDUCT,4,02/08/2020 07:00:13 AM,"1100 SUTTER ST
Berkeley, CA
(37.888072, -122.272344)",1100 SUTTER ST,Berkeley,CA,37.888071999999994,-122.27234399999999
19043941,BURGLARY AUTO,08/09/2019 12:00:00 AM,09:00,BURGLARY - VEHICLE,5,02/08/2020 07:00:13 AM,"1600 WALNUT ST
Berkeley, CA
(37.878407, -122.267962)",1600 WALNUT ST,Berkeley,CA,37.878407,-122.26796200000001
19042245,ROBBERY,08/01/2019 12:00:00 AM,23:35,ROBBERY,4,02/08/2020 07:00:13 AM,"1700 UNIVERSITY AV
Berkeley, CA
(37.870948, -122.27733)",1700 UNIVERSITY AV,Berkeley,CA,37.870948,-122.27733
19042750,THEFT MISD. (UNDER $950),08/04/2019 12:00:00 AM,11:02,LARCENY,0,02/08/2020 07:00:13 AM,"1300 SAN PABLO AV
Berkeley, CA
(37.880228, -122.295798)",1300 SAN PABLO AV,Berkeley,CA,37.880228,-122.295798
19038647,BURGLARY AUTO,07/15/2019 12:00:00 AM,22:00,BURGLARY - VEHICLE,1,02/08/2020 07:00:12 AM,"900 UNIVERSITY AV
Berkeley, CA
(37.868263, -122.296013)",900 UNIVERSITY AV,Berkeley,CA,37.868263,-122.29601299999999
19049391,VANDALISM,08/30/2019 12:00:00 AM,11:00,VANDALISM,5,02/08/2020 07:00:14 AM,"1500 LINCOLN ST
Berkeley, CA
(37.875796, -122.282477)",1500 LINCOLN ST,Berkeley,CA,37.875796,-122.282477
19045431,DOMESTIC VIOLENCE,08/16/2019 12:00:00 AM,11:55,FAMILY OFFENSE,5,02/08/2020 07:00:13 AM,"3200 SACRAMENTO ST
Berkeley, CA
(37.849431, -122.278174)",3200 SACRAMENTO ST,Berkeley,CA,37.849431,-122.27817399999999
19047740,BURGLARY RESIDENTIAL,08/26/2019 12:00:00 AM,16:00,BURGLARY - RESIDENTIAL,1,02/08/2020 07:00:14 AM,"2800 FULTON ST
Berkeley, CA
(37.858741, -122.264109)",2800 FULTON ST,Berkeley,CA,37.858740999999995,-122.264109
19045299,DOMESTIC VIOLENCE,08/15/2019 12:00:00 AM,18:29,FAMILY OFFENSE,4,02/08/2020 07:00:13 AM,"FRANCISCO STREET & SHATTUCK AV
Berkeley, CA
(37.87571, -122.268737)",FRANCISCO STREET & SHATTUCK AV,Berkeley,CA,37.87571,-122.26873700000002
19091820,BURGLARY AUTO,08/30/2019 12:00:00 AM,20:05,BURGLARY - VEHICLE,5,02/08/2020 07:00:14 AM,"100 SPINNAKER WY
Berkeley, CA
(37.870287, -122.316238)",100 SPINNAKER WY,Berkeley,CA,37.870287,-122.31623799999998
19039223,SEXUAL ASSAULT MISD.,07/18/2019 12:00:00 AM,08:50,SEX CRIME,4,02/08/2020 07:00:12 AM,"2400 CHANNING WY
Berkeley, CA
(37.866622, -122.26108)",2400 CHANNING WY,Berkeley,CA,37.866622,-122.26108
19091670,BURGLARY AUTO,08/16/2019 12:00:00 AM,00:00,BURGLARY - VEHICLE,5,02/08/2020 07:00:13 AM,"200 MARINA BL
Berkeley, CA
(37.868667, -122.313656)",200 MARINA BL,Berkeley,CA,37.868666999999995,-122.31365600000001
19044958,DISTURBANCE,08/14/2019 12:00:00 AM,11:40,DISORDERLY CONDUCT,3,02/08/2020 07:00:13 AM,"1900 SHATTUCK AV
Berkeley, CA
(37.873687, -122.268616)",1900 SHATTUCK AV,Berkeley,CA,37.873687,-122.268616
19091755,THEFT MISD. (UNDER $950),08/11/2019 12:00:00 AM,19:40,LARCENY,0,02/08/2020 07:00:14 AM,"2300 SHATTUCK AV
Berkeley, CA
(37.867157, -122.2678)",2300 SHATTUCK AV,Berkeley,CA,37.867157,-122.2678
19041412,FRAUD/FORGERY,07/10/2019 12:00:00 AM,00:00,FRAUD,3,02/08/2020 07:00:13 AM,"800 NEILSON ST
Berkeley, CA
(37.892795, -122.286521)",800 NEILSON ST,Berkeley,CA,37.892795,-122.286521
19044259,ROBBERY,08/11/2019 12:00:00 AM,02:23,ROBBERY,0,02/08/2020 07:00:13 AM,"BLAKE STREET & TELEGRAPH AV
Berkeley, CA
(37.864173, -122.258616)",BLAKE STREET & TELEGRAPH AV,Berkeley,CA,37.864173,-122.25861599999999
19038522,THEFT FELONY (OVER $950),07/15/2019 12:00:00 AM,13:00,LARCENY,1,02/08/2020 07:00:09 AM,"200 UNIVERSITY AV
Berkeley, CA
(37.865511, -122.309967)",200 UNIVERSITY AV,Berkeley,CA,37.865511,-122.30996699999999
19043705,THEFT MISD. (UNDER $950),08/08/2019 12:00:00 AM,14:00,LARCENY,4,02/08/2020 07:00:13 AM,"CHANNING WY & DANA ST
Berkeley, CA
(37.866622, -122.26108)",CHANNING WY & DANA ST,Berkeley,CA,37.866622,-122.26108
19040419,ASSAULT/BATTERY MISD.,07/24/2019 12:00:00 AM,17:35,ASSAULT,3,02/08/2020 07:00:13 AM,"SOLANO AV & VENTURA AV
Berkeley, CA
(37.891144, -122.283458)",SOLANO AV & VENTURA AV,Berkeley,CA,37.891144,-122.28345800000001
19091321,BURGLARY AUTO,07/06/2019 12:00:00 AM,08:30,BURGLARY - VEHICLE,6,02/08/2020 07:00:09 AM,"801 BOLIVAR DR
Berkeley, CA
(37.862928, -122.302303)",801 BOLIVAR DR,Berkeley,CA,37.862928000000004,-122.30230300000001
19046569,THEFT FROM AUTO,08/20/2019 12:00:00 AM,21:00,LARCENY - FROM VEHICLE,2,02/08/2020 07:00:13 AM,"100 UNIVERSITY AV
Berkeley, CA
(37.86331, -122.316113)",100 UNIVERSITY AV,Berkeley,CA,37.86331,-122.31611299999999
19035885,FRAUD/FORGERY,07/01/2019 12:00:00 AM,22:27,FRAUD,1,02/08/2020 07:00:08 AM,"2300 PROSPECT ST
Berkeley, CA
(37.869332, -122.25019)",2300 PROSPECT ST,Berkeley,CA,37.869332,-122.25018999999999
19041382,THEFT FROM AUTO,07/27/2019 12:00:00 AM,11:59,LARCENY - FROM VEHICLE,6,02/08/2020 07:00:13 AM,"2700 MATHEWS ST
Berkeley, CA
(37.857776, -122.286576)",2700 MATHEWS ST,Berkeley,CA,37.857776,-122.286576
19044512,DOMESTIC VIOLENCE,08/09/2019 12:00:00 AM,05:00,FAMILY OFFENSE,5,02/08/2020 07:00:13 AM,"1300 HASKELL ST
Berkeley, CA
(37.851107, -122.28324)",1300 HASKELL ST,Berkeley,CA,37.851107,-122.28323999999999
19047038,ASSAULT/BATTERY MISD.,08/23/2019 12:00:00 AM,18:25,ASSAULT,5,02/08/2020 07:00:13 AM,"SAN PABLO AV & UNIVERSITY AV
Berkeley, CA
(37.869041, -122.292204)",SAN PABLO AV & UNIVERSITY AV,Berkeley,CA,37.869040999999996,-122.292204
19037586,BURGLARY COMMERCIAL,07/10/2019 12:00:00 AM,18:00,BURGLARY - COMMERCIAL,3,02/08/2020 07:00:09 AM,"2900 DOMINGO AV
Berkeley, CA
(37.858955, -122.243989)",2900 DOMINGO AV,Berkeley,CA,37.858955,-122.24398899999998
19044452,BURGLARY COMMERCIAL,08/11/2019 12:00:00 AM,22:05,BURGLARY - COMMERCIAL,0,02/08/2020 07:00:13 AM,"1400 EASTSHORE HW
Berkeley, CA
(37.876085, -122.306138)",1400 EASTSHORE HW,Berkeley,CA,37.876084999999996,-122.30613799999999
19035820,VANDALISM,07/01/2019 12:00:00 AM,01:30,VANDALISM,1,02/08/2020 07:00:08 AM,"1100 UNIVERSITY AV
Berkeley, CA
(37.869067, -122.292043)",1100 UNIVERSITY AV,Berkeley,CA,37.869067,-122.29204299999999
19048635,THEFT FELONY (OVER $950),08/25/2019 12:00:00 AM,18:20,LARCENY,0,02/08/2020 07:00:14 AM,"1500 FAIRVIEW ST
Berkeley, CA
(37.849747, -122.277907)",1500 FAIRVIEW ST,Berkeley,CA,37.849747,-122.27790700000001
19042095,VICE,08/01/2019 12:00:00 AM,00:00,DISORDERLY CONDUCT,4,02/08/2020 07:00:14 AM,"890 REGAL
Berkeley, CA
(37.894745, -122.266009)",890 REGAL,Berkeley,CA,37.894745,-122.26600900000001
19036129,DISTURBANCE,07/03/2019 12:00:00 AM,10:28,DISORDERLY CONDUCT,3,02/08/2020 07:00:08 AM,"UNIVERSITY AV & SEAWALL DR
Berkeley, CA
(37.863091, -122.317275)",UNIVERSITY AV & SEAWALL DR,Berkeley,CA,37.863091,-122.317275
19040793,SEXUAL ASSAULT MISD.,07/26/2019 12:00:00 AM,13:40,SEX CRIME,5,02/08/2020 07:00:13 AM,"1900 HEARST AV
Berkeley, CA
(37.873327, -122.273214)",1900 HEARST AV,Berkeley,CA,37.873327,-122.273214
19043227,BURGLARY AUTO,08/06/2019 12:00:00 AM,13:46,BURGLARY - VEHICLE,2,02/08/2020 07:00:13 AM,"1600 SHATTUCK AV
Berkeley, CA
(37.878113, -122.269114)",1600 SHATTUCK AV,Berkeley,CA,37.878113,-122.26911399999999
19091510,IDENTITY THEFT,07/06/2019 12:00:00 AM,09:00,FRAUD,6,02/08/2020 07:00:13 AM,"2300 JEFFERSON AV
Berkeley, CA
(37.866265, -122.278162)",2300 JEFFERSON AV,Berkeley,CA,37.866265000000006,-122.27816200000001
19039757,ALCOHOL OFFENSE,07/21/2019 12:00:00 AM,09:15,LIQUOR LAW VIOLATION,0,02/08/2020 07:00:12 AM,"200 MARINA BLVD
Berkeley, CA
(37.868667, -122.313656)",200 MARINA BLVD,Berkeley,CA,37.868666999999995,-122.31365600000001
19048359,DISTURBANCE,08/29/2019 12:00:00 AM,10:00,DISORDERLY CONDUCT,4,02/08/2020 07:00:14 AM,"2400 ASHBY AV
Berkeley, CA
(37.856111, -122.260248)",2400 ASHBY AV,Berkeley,CA,37.856111,-122.260248
19091504,BURGLARY AUTO,07/27/2019 12:00:00 AM,19:00,BURGLARY - VEHICLE,6,02/08/2020 07:00:13 AM,"2000 ADDISON ST
Berkeley, CA
(37.870867, -122.270635)",2000 ADDISON ST,Berkeley,CA,37.870867,-122.27063500000001
19042957,MISSING ADULT,08/05/2019 12:00:00 AM,12:50,MISSING PERSON,1,02/08/2020 07:00:14 AM,"1400 ALCATRAZ AV
Berkeley, CA
(37.847682, -122.279381)",1400 ALCATRAZ AV,Berkeley,CA,37.847682,-122.279381
19042900,BURGLARY AUTO,08/04/2019 12:00:00 AM,23:00,BURGLARY - VEHICLE,0,02/08/2020 07:00:13 AM,"2700 TELEGRAPH AV
Berkeley, CA
(37.861387, -122.259001)",2700 TELEGRAPH AV,Berkeley,CA,37.861387,-122.259001
19091333,IDENTITY THEFT,07/03/2019 12:00:00 AM,20:33,FRAUD,3,02/08/2020 07:00:09 AM,"3000 STANTON ST
Berkeley, CA
(37.853203, -122.279642)",3000 STANTON ST,Berkeley,CA,37.853203,-122.279642
19039954,DISTURBANCE,07/22/2019 12:00:00 AM,15:43,DISORDERLY CONDUCT,1,02/08/2020 07:00:13 AM,"2200 JEFFERSON AV
Berkeley, CA
(37.868058, -122.278332)",2200 JEFFERSON AV,Berkeley,CA,37.868058000000005,-122.278332
19043395,BURGLARY AUTO,08/05/2019 12:00:00 AM,16:00,BURGLARY - VEHICLE,1,02/08/2020 07:00:13 AM,"2300 SHATTUCK AV
Berkeley, CA
(37.867157, -122.2678)",2300 SHATTUCK AV,Berkeley,CA,37.867157,-122.2678
19039218,DISTURBANCE,07/18/2019 12:00:00 AM,18:28,DISORDERLY CONDUCT,4,02/08/2020 07:00:12 AM,"1900 SHATTUCK AV
Berkeley, CA
(37.873687, -122.268616)",1900 SHATTUCK AV,Berkeley,CA,37.873687,-122.268616
19092152,BURGLARY RESIDENTIAL,08/21/2019 12:00:00 AM,16:10,BURGLARY - RESIDENTIAL,3,02/08/2020 07:00:10 AM,"2100 ALLSTON WAY
Berkeley, CA
(37.86939, -122.267883)",2100 ALLSTON WAY,Berkeley,CA,37.86939,-122.26788300000001
19091794,BURGLARY AUTO,08/28/2019 12:00:00 AM,05:00,BURGLARY - VEHICLE,3,02/08/2020 07:00:14 AM,"1400 SAN PABLO AVE
Berkeley, CA
(37.878722, -122.295312)",1400 SAN PABLO AVE,Berkeley,CA,37.878721999999996,-122.29531200000001
19046574,BURGLARY AUTO,08/21/2019 12:00:00 AM,16:32,BURGLARY - VEHICLE,3,02/08/2020 07:00:13 AM,"400 GILMAN ST
Berkeley, CA
(37.877863, -122.308855)",400 GILMAN ST,Berkeley,CA,37.877863,-122.30885500000001
19038275,DISTURBANCE,07/14/2019 12:00:00 AM,09:51,DISORDERLY CONDUCT,0,02/08/2020 07:00:09 AM,"2300 TELEGRAPH AV
Berkeley, CA
(37.868714, -122.259189)",2300 TELEGRAPH AV,Berkeley,CA,37.868714000000004,-122.25918899999999
